,id,title,published_title,price,headline,is_paid,instructor_name,instructor_job,category
209,1423954,The Complete Fundraising Course,the-complete-fundraising-course,$89.99,"The only course you need to learn fundraising - Angel Investors, VC's, Finance Institutions and more!",True,Richard,#1 Best Selling Author| Entrepreneur |Marine Vet| Wallstreet,Finance & Accounting
210,1431460,BookKeeping & Accounting Level - 2,book-keeping-accountancy-level-2,$19.99,"Entire Partnership Accounting, Non Profit Organisations, Single Entry System, Joint stock company, bills of exchange,etc",True,Let'stute,An E-Learning Organization with variety of courses to offer.,Finance & Accounting
211,1355540,Debit Spread For Half The Cost - Options Trading Reinvented,new-debit-spread-for-half-the-cost-or-free-options-trading,$89.99,Lower the cost of your Debit Spread. Enhance your portfolio. Never Seen before Debit Spread with a Twist.,True,Winston,Internet Marketing Specialist,Finance & Accounting
212,1301132,M&A Theory and Process: A Complete Guide,ma-theory-and-process-a-complete-guide,$49.99,Everything you need to know about mergers and acquisitions!,True,Ali,"Exeter I Oxford I Investment Banking I 21,000+ students",Finance & Accounting
213,1331998,"Monero: Learn how to mine, how to buy and how to invest it",monero-the-king-of-privacy,$49.99,How to invest in one of the best alternative cryptocurrencies in the virtual coin universe,True,Giorgio,,Finance & Accounting
214,1221004,Discounted Cash Flow Valuation: Spot Undervalued Stocks Fast,discounted-cash-flow-valuation-spot-undervalued-stocks-fast,$89.99,Learn the 6-step Discounted Cash Flow (DCF) Valuation to calculate the Fair Value / Intrinsic Value of a stock easily,True,Jari,"Entrepreneur, Investor and Bestselling Instructor",Finance & Accounting
215,1341482,Value Investing Turbocharged: Stock Trading with Leverage,investing-fundamental-to-stock-picks-price-forecasting,$89.99,"Learn Financial Analysis to Pick Growth Stock Systematically. Trade with Leverage for Higher Gain (Options, CFD, Margin)",True,KamMeng,"Entrepreneur, Stock Investor & Trader & Educational Trainer",Finance & Accounting
216,1182080,Invest in Exchange Traded Funds (ETF),invest-exchange-traded-funds,$89.99,ETF Investing Blueprint: Invest in high-quality ETFs with our selection criteria and passive investing strategy.,True,Value Investing,Stocks and Value investing made simple,Finance & Accounting
217,1456908,Financing Options for Small Business,financing-options-for-small-business,$19.99,"Business Blueprint Series: Understand Financing Options, Determine Needs, Learn 7 Financing Options for Startups",True,Skillay,"Entrepreneurship, business and digital marketing training.",Finance & Accounting
218,1465162,How to Buy an Existing Business,how-to-buy-an-existing-business,$19.99,"Business Blueprint Series: Advantages, Business Value, Due Diligence, Practical Steps, Closing a Deal, Transitioning",True,Skillay,"Entrepreneurship, business and digital marketing training.",Finance & Accounting
219,1396490,Financial Advisor Training: Phoning and Prospecting,financial-advisor-phoning-develop-your-unique-calling-style,$89.99,Fill Your Calendar with a Pipeline Full of Prospects Who Are Ready to do Business with You,True,Jason,"Author, YouTuber, Keynote & TEDx Speaker, CEO Rule the Room",Finance & Accounting
220,1366438,Day Trading 101: How To Day Trade Stocks for Passive Income,day-trading-stock-market-how-to-day-trade-stocks-for-passive-income,$89.99,"Learn the basics of profitable day trading: chart setting, technical patterns, indicators, gappers and breakaway runners",True,Luca,Technical Trader | Investor | Chinese Medicine Instructor,Finance & Accounting
221,1273030,Learn How to Trade Cryptocurrencies for Profit,trading-cryptocurrencies,$59.99,Earning a Side Income With Profitable Bitcoin Trading,True,Andreas,"Audio, Video, Social Media, and Blockchain Tech",Finance & Accounting
222,824592,Basic Bookkeeping Hacks,basic-bookkeeping,$19.99,How to easily get your accounting and bookkeeping done fast,True,Scott,"Executive Producer (42 Podcasts, 150+ courses)",Finance & Accounting
223,806130,Risk Management: An Introduction,risk-management-an-introduction,$19.99,An essential guide to understanding Risk Management,True,Tanuja,Chartered Financial Analyst,Finance & Accounting
224,804298,Corporate Finance 101: Equity Valuation,corp-fin-101-equity-valuation,$89.99,"A zoom-in, zoom-out, connect-the-dots take on FCF models, Dividend discount models, and equity valuation",True,Loony,"An ex-Google, Stanford and Flipkart team",Finance & Accounting
225,789186,The Advanced Value Investing Course (Updated 2021),advanced-value-investing,$89.99,"Advanced Value Investing Guide to Stock Screening, Financial Statement Analysis, Company Valuation & Technical Analysis",True,Wealthy,Millionaire Investor | Investing Strategies That Work!,Finance & Accounting
